Game Number,Test Agent,Win Percentage,Draw Percentage,Loss Percentage
207000,moderate_player,0.001,0.013,0.986
207000,advanced_player,0.0,0.0,1.0
208000,random_player,1.0,0.0,0.0
208000,moderate_player,0.0,0.009,0.991
208000,advanced_player,0.0,0.0,1.0
209000,random_player,0.999,0.001,0.0
209000,moderate_player,0.002,0.011,0.987
209000,advanced_player,0.0,0.0,1.0
210000,random_player,1.0,0.0,0.0
210000,moderate_player,0.005,0.009,0.986
210000,advanced_player,0.0,0.0,1.0
211000,random_player,1.0,0.0,0.0
211000,moderate_player,0.001,0.012,0.987
211000,advanced_player,0.0,0.0,1.0
212000,random_player,1.0,0.0,0.0
212000,moderate_player,0.002,0.01,0.988
212000,advanced_player,0.0,0.001,0.999
213000,random_player,1.0,0.0,0.0
213000,moderate_player,0.001,0.011,0.988
213000,advanced_player,0.0,0.0,1.0
214000,random_player,1.0,0.0,0.0
214000,moderate_player,0.001,0.008,0.991
214000,advanced_player,0.0,0.0,1.0
215000,random_player,1.0,0.0,0.0
215000,moderate_player,0.001,0.007,0.992
215000,advanced_player,0.0,0.0,1.0
216000,random_player,1.0,0.0,0.0
216000,moderate_player,0.001,0.005,0.994
216000,advanced_player,0.0,0.0,1.0
217000,random_player,0.999,0.001,0.0
217000,moderate_player,0.001,0.017,0.982
217000,advanced_player,0.0,0.0,1.0
218000,random_player,1.0,0.0,0.0
218000,moderate_player,0.0,0.005,0.995
218000,advanced_player,0.0,0.0,1.0
219000,random_player,0.998,0.002,0.0
219000,moderate_player,0.001,0.013,0.986
219000,advanced_player,0.0,0.0,1.0
220000,random_player,1.0,0.0,0.0
220000,moderate_player,0.002,0.007,0.991
220000,advanced_player,0.0,0.001,0.999
221000,random_player,1.0,0.0,0.0
221000,moderate_player,0.0,0.014,0.986
221000,advanced_player,0.0,0.0,1.0
222000,random_player,1.0,0.0,0.0
222000,moderate_player,0.001,0.008,0.991
222000,advanced_player,0.0,0.0,1.0
223000,random_player,1.0,0.0,0.0
223000,moderate_player,0.001,0.015,0.984
223000,advanced_player,0.0,0.0,1.0
224000,random_player,1.0,0.0,0.0
224000,moderate_player,0.002,0.011,0.987
224000,advanced_player,0.0,0.0,1.0
225000,random_player,1.0,0.0,0.0
225000,moderate_player,0.001,0.011,0.988
225000,advanced_player,0.0,0.0,1.0
226000,random_player,1.0,0.0,0.0
226000,moderate_player,0.002,0.008,0.99
226000,advanced_player,0.0,0.0,1.0
227000,random_player,1.0,0.0,0.0
227000,moderate_player,0.002,0.004,0.994
